_id,Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
4207,2014Q4,S08000029,"",S08000024,Lymphoma,"",1,"",0,""
4208,2014Q4,S08000029,"",S08000024,Ovarian,"",2,"",2,""
4209,2014Q4,S08000029,"",S08000024,Upper GI,"",4,"",3,""
4210,2014Q4,S08000029,"",S08000024,Urological,"",4,"",2,""
4211,2014Q4,S08000029,"",S08000029,All Cancer Types,d,126,"",119,""
4212,2014Q4,S08000029,"",S08000029,Breast,"",24,"",23,""
4213,2014Q4,S08000029,"",S08000029,Cervical,"",4,"",4,""
4214,2014Q4,S08000029,"",S08000029,Colorectal,"",30,"",29,""
4215,2014Q4,S08000029,"",S08000029,Head & Neck,"",4,"",4,""
4216,2014Q4,S08000029,"",S08000029,Lung,"",19,"",19,""
4217,2014Q4,S08000029,"",S08000029,Lymphoma,"",4,"",4,""
4218,2014Q4,S08000029,"",S08000029,Melanoma,"",1,"",1,""
4219,2014Q4,S08000029,"",S08000029,Ovarian,"",6,"",6,""
4220,2014Q4,S08000029,"",S08000029,Upper GI,"",13,"",13,""
4221,2014Q4,S08000029,"",S08000029,Urological,"",21,"",16,""
4222,2014Q4,S08000029,"",S08000030,All Cancer Types,d,2,"",2,""
4223,2014Q4,S08000029,"",S08000030,Lung,"",2,"",2,""
4224,2014Q4,S08000030,"",S08000024,All Cancer Types,d,3,"",3,""
4225,2014Q4,S08000030,"",S08000024,Lung,"",3,"",3,""
4226,2014Q4,S08000030,"",S08000030,All Cancer Types,d,227,"",220,""
4227,2014Q4,S08000030,"",S08000030,Breast,"",65,"",63,""
4228,2014Q4,S08000030,"",S08000030,Cervical,"",8,"",8,""
4229,2014Q4,S08000030,"",S08000030,Colorectal,"",45,"",41,""
4230,2014Q4,S08000030,"",S08000030,Head & Neck,"",1,"",1,""
4231,2014Q4,S08000030,"",S08000030,Lung,"",39,"",39,""
4232,2014Q4,S08000030,"",S08000030,Melanoma,"",12,"",12,""
4233,2014Q4,S08000030,"",S08000030,Upper GI,"",22,"",22,""
4234,2014Q4,S08000030,"",S08000030,Urological,"",35,"",34,""
4235,2014Q4,S08000031,"",S08000019,All Cancer Types,d,4,"",4,""
4236,2014Q4,S08000031,"",S08000019,Breast,"",4,"",4,""
4237,2014Q4,S08000031,"",S08000022,All Cancer Types,d,3,"",3,""
4238,2014Q4,S08000031,"",S08000022,Colorectal,"",1,"",1,""
4239,2014Q4,S08000031,"",S08000022,Lung,"",1,"",1,""
4240,2014Q4,S08000031,"",S08000022,Lymphoma,"",1,"",1,""
4241,2014Q4,S08000031,"",S08000031,All Cancer Types,d,713,"",668,""
4242,2014Q4,S08000031,"",S08000031,Breast,"",232,"",227,""
4243,2014Q4,S08000031,"",S08000031,Cervical,"",9,"",9,""
4244,2014Q4,S08000031,"",S08000031,Colorectal,"",77,"",74,""
4245,2014Q4,S08000031,"",S08000031,Head & Neck,"",43,"",39,""
4246,2014Q4,S08000031,"",S08000031,Lung,"",105,"",99,""
4247,2014Q4,S08000031,"",S08000031,Lymphoma,"",22,"",22,""
4248,2014Q4,S08000031,"",S08000031,Melanoma,"",29,"",29,""
4249,2014Q4,S08000031,"",S08000031,Ovarian,"",11,"",11,""
4250,2014Q4,S08000031,"",S08000031,Upper GI,"",68,"",58,""
4251,2014Q4,S08000031,"",S08000031,Urological,"",117,"",100,""
4252,2014Q4,S08000031,"",S08000032,All Cancer Types,d,14,"",13,""
4253,2014Q4,S08000031,"",S08000032,Breast,"",14,"",13,""
4254,2014Q4,S08000031,"",SB0801,All Cancer Types,d,11,"",10,""
4255,2014Q4,S08000031,"",SB0801,Lung,"",11,"",10,""
4256,2014Q4,S08000032,"",S08000024,All Cancer Types,d,1,"",0,""
4257,2014Q4,S08000032,"",S08000024,Urological,"",1,"",0,""
4258,2014Q4,S08000032,"",S08000031,All Cancer Types,d,29,"",25,""
4259,2014Q4,S08000032,"",S08000031,Breast,"",1,"",1,""
4260,2014Q4,S08000032,"",S08000031,Cervical,"",2,"",2,""
4261,2014Q4,S08000032,"",S08000031,Colorectal,"",8,"",5,""
4262,2014Q4,S08000032,"",S08000031,Lung,"",10,"",10,""
4263,2014Q4,S08000032,"",S08000031,Melanoma,"",2,"",1,""
4264,2014Q4,S08000032,"",S08000031,Ovarian,"",3,"",3,""
4265,2014Q4,S08000032,"",S08000031,Upper GI,"",2,"",2,""
4266,2014Q4,S08000032,"",S08000031,Urological,"",1,"",1,""
4267,2014Q4,S08000032,"",S08000032,All Cancer Types,d,233,"",226,""
4268,2014Q4,S08000032,"",S08000032,Breast,"",63,"",61,""
4269,2014Q4,S08000032,"",S08000032,Cervical,"",5,"",5,""
4270,2014Q4,S08000032,"",S08000032,Colorectal,"",39,"",38,""
4271,2014Q4,S08000032,"",S08000032,Head & Neck,"",3,"",3,""
4272,2014Q4,S08000032,"",S08000032,Lung,"",38,"",38,""
4273,2014Q4,S08000032,"",S08000032,Lymphoma,"",5,"",5,""
4274,2014Q4,S08000032,"",S08000032,Melanoma,"",19,"",19,""
4275,2014Q4,S08000032,"",S08000032,Ovarian,"",3,"",3,""
4276,2014Q4,S08000032,"",S08000032,Upper GI,"",20,"",19,""
4277,2014Q4,S08000032,"",S08000032,Urological,"",38,"",35,""
4278,2014Q4,S08000032,"",SB0801,All Cancer Types,d,7,"",7,""
4279,2014Q4,S08000032,"",SB0801,Lung,"",7,"",7,""
4280,2014Q4,S92000003,d,S08000015,All Cancer Types,d,232,"",222,""
4281,2014Q4,S92000003,d,S08000015,Breast,"",71,"",68,""
4282,2014Q4,S92000003,d,S08000015,Cervical,"",1,"",1,""
4283,2014Q4,S92000003,d,S08000015,Colorectal,"",28,"",27,""
4284,2014Q4,S92000003,d,S08000015,Head & Neck,"",5,"",4,""
4285,2014Q4,S92000003,d,S08000015,Lung,"",44,"",42,""
4286,2014Q4,S92000003,d,S08000015,Lymphoma,"",10,"",8,""
4287,2014Q4,S92000003,d,S08000015,Melanoma,"",6,"",6,""
4288,2014Q4,S92000003,d,S08000015,Ovarian,"",3,"",3,""
4289,2014Q4,S92000003,d,S08000015,Upper GI,"",29,"",28,""
4290,2014Q4,S92000003,d,S08000015,Urological,"",35,"",35,""
4291,2014Q4,S92000003,d,S08000016,All Cancer Types,d,73,"",73,""
4292,2014Q4,S92000003,d,S08000016,Breast,"",15,"",15,""
4293,2014Q4,S92000003,d,S08000016,Cervical,"",1,"",1,""
4294,2014Q4,S92000003,d,S08000016,Colorectal,"",10,"",10,""
4295,2014Q4,S92000003,d,S08000016,Lung,"",11,"",11,""
4296,2014Q4,S92000003,d,S08000016,Lymphoma,"",4,"",4,""
4297,2014Q4,S92000003,d,S08000016,Melanoma,"",6,"",6,""
4298,2014Q4,S92000003,d,S08000016,Ovarian,"",4,"",4,""
4299,2014Q4,S92000003,d,S08000016,Upper GI,"",12,"",12,""
4300,2014Q4,S92000003,d,S08000016,Urological,"",10,"",10,""
4301,2014Q4,S92000003,d,S08000017,All Cancer Types,d,95,"",95,""
4302,2014Q4,S92000003,d,S08000017,Breast,"",25,"",25,""
4303,2014Q4,S92000003,d,S08000017,Cervical,"",1,"",1,""
4304,2014Q4,S92000003,d,S08000017,Colorectal,"",17,"",17,""
4305,2014Q4,S92000003,d,S08000017,Head & Neck,"",1,"",1,""
4306,2014Q4,S92000003,d,S08000017,Lung,"",20,"",20,""
4307,2014Q4,S92000003,d,S08000017,Lymphoma,"",3,"",3,""
4308,2014Q4,S92000003,d,S08000017,Melanoma,"",2,"",2,""
4309,2014Q4,S92000003,d,S08000017,Ovarian,"",2,"",2,""
4310,2014Q4,S92000003,d,S08000017,Upper GI,"",8,"",8,""
4311,2014Q4,S92000003,d,S08000017,Urological,"",16,"",16,""
4312,2014Q4,S92000003,d,S08000019,All Cancer Types,d,170,"",163,""
4313,2014Q4,S92000003,d,S08000019,Breast,"",38,"",38,""
4314,2014Q4,S92000003,d,S08000019,Cervical,"",1,"",1,""
4315,2014Q4,S92000003,d,S08000019,Colorectal,"",25,"",24,""
4316,2014Q4,S92000003,d,S08000019,Head & Neck,"",3,"",3,""
4317,2014Q4,S92000003,d,S08000019,Lung,"",32,"",31,""
4318,2014Q4,S92000003,d,S08000019,Lymphoma,"",9,"",9,""
4319,2014Q4,S92000003,d,S08000019,Melanoma,"",11,"",10,""
4320,2014Q4,S92000003,d,S08000019,Ovarian,"",5,"",4,""
4321,2014Q4,S92000003,d,S08000019,Upper GI,"",14,"",13,""
4322,2014Q4,S92000003,d,S08000019,Urological,"",32,"",30,""
4323,2014Q4,S92000003,d,S08000020,All Cancer Types,d,322,"",287,""
4324,2014Q4,S92000003,d,S08000020,Breast,"",70,"",69,""
4325,2014Q4,S92000003,d,S08000020,Cervical,"",7,"",7,""
4326,2014Q4,S92000003,d,S08000020,Colorectal,"",51,"",40,""
4327,2014Q4,S92000003,d,S08000020,Head & Neck,"",13,"",9,""
4328,2014Q4,S92000003,d,S08000020,Lung,"",74,"",68,""
4329,2014Q4,S92000003,d,S08000020,Lymphoma,"",6,"",5,""
4330,2014Q4,S92000003,d,S08000020,Melanoma,"",9,"",8,""
4331,2014Q4,S92000003,d,S08000020,Ovarian,"",14,"",12,""
4332,2014Q4,S92000003,d,S08000020,Upper GI,"",30,"",28,""
4333,2014Q4,S92000003,d,S08000020,Urological,"",48,"",41,""
4334,2014Q4,S92000003,d,S08000022,All Cancer Types,d,176,"",166,""
4335,2014Q4,S92000003,d,S08000022,Breast,"",37,"",37,""
4336,2014Q4,S92000003,d,S08000022,Cervical,"",1,"",1,""
4337,2014Q4,S92000003,d,S08000022,Colorectal,"",30,"",25,""
4338,2014Q4,S92000003,d,S08000022,Head & Neck,"",5,"",5,""
4339,2014Q4,S92000003,d,S08000022,Lung,"",38,"",37,""
4340,2014Q4,S92000003,d,S08000022,Lymphoma,"",11,"",11,""
4341,2014Q4,S92000003,d,S08000022,Melanoma,"",7,"",7,""
4342,2014Q4,S92000003,d,S08000022,Ovarian,"",5,"",5,""
4343,2014Q4,S92000003,d,S08000022,Upper GI,"",24,"",24,""
4344,2014Q4,S92000003,d,S08000022,Urological,"",18,"",14,""
4345,2014Q4,S92000003,d,S08000024,All Cancer Types,d,504,"",473,""
4346,2014Q4,S92000003,d,S08000024,Breast,"",168,"",168,""
4347,2014Q4,S92000003,d,S08000024,Cervical,"",13,"",12,""
4348,2014Q4,S92000003,d,S08000024,Colorectal,"",71,"",64,""
4349,2014Q4,S92000003,d,S08000024,Head & Neck,"",18,"",15,""
4350,2014Q4,S92000003,d,S08000024,Lung,"",84,"",83,""
4351,2014Q4,S92000003,d,S08000024,Lymphoma,"",19,"",15,""
4352,2014Q4,S92000003,d,S08000024,Melanoma,"",13,"",12,""
4353,2014Q4,S92000003,d,S08000024,Ovarian,"",10,"",9,""
4354,2014Q4,S92000003,d,S08000024,Upper GI,"",34,"",32,""
4355,2014Q4,S92000003,d,S08000024,Urological,"",74,"",63,""
4356,2014Q4,S92000003,d,S08000025,All Cancer Types,d,2,"",2,""
4357,2014Q4,S92000003,d,S08000025,Lung,"",1,"",1,""
4358,2014Q4,S92000003,d,S08000025,Urological,"",1,"",1,""
4359,2014Q4,S92000003,d,S08000026,All Cancer Types,d,14,"",14,""
4360,2014Q4,S92000003,d,S08000026,Breast,"",3,"",3,""
4361,2014Q4,S92000003,d,S08000026,Colorectal,"",4,"",4,""
4362,2014Q4,S92000003,d,S08000026,Melanoma,"",3,"",3,""
4363,2014Q4,S92000003,d,S08000026,Upper GI,"",2,"",2,""
4364,2014Q4,S92000003,d,S08000026,Urological,"",2,"",2,""
4365,2014Q4,S92000003,d,S08000028,All Cancer Types,d,6,"",6,""
4366,2014Q4,S92000003,d,S08000028,Colorectal,"",2,"",2,""
4367,2014Q4,S92000003,d,S08000028,Lung,"",2,"",2,""
4368,2014Q4,S92000003,d,S08000028,Upper GI,"",1,"",1,""
4369,2014Q4,S92000003,d,S08000028,Urological,"",1,"",1,""
4370,2014Q4,S92000003,d,S08000029,All Cancer Types,d,130,"",123,""
4371,2014Q4,S92000003,d,S08000029,Breast,"",27,"",26,""
4372,2014Q4,S92000003,d,S08000029,Cervical,"",5,"",5,""
4373,2014Q4,S92000003,d,S08000029,Colorectal,"",30,"",29,""
4374,2014Q4,S92000003,d,S08000029,Head & Neck,"",4,"",4,""
4375,2014Q4,S92000003,d,S08000029,Lung,"",19,"",19,""
4376,2014Q4,S92000003,d,S08000029,Lymphoma,"",4,"",4,""
4377,2014Q4,S92000003,d,S08000029,Melanoma,"",1,"",1,""
4378,2014Q4,S92000003,d,S08000029,Ovarian,"",6,"",6,""
4379,2014Q4,S92000003,d,S08000029,Upper GI,"",13,"",13,""
4380,2014Q4,S92000003,d,S08000029,Urological,"",21,"",16,""
4381,2014Q4,S92000003,d,S08000030,All Cancer Types,d,229,"",222,""
4382,2014Q4,S92000003,d,S08000030,Breast,"",65,"",63,""
4383,2014Q4,S92000003,d,S08000030,Cervical,"",8,"",8,""
4384,2014Q4,S92000003,d,S08000030,Colorectal,"",45,"",41,""
4385,2014Q4,S92000003,d,S08000030,Head & Neck,"",1,"",1,""
4386,2014Q4,S92000003,d,S08000030,Lung,"",41,"",41,""
4387,2014Q4,S92000003,d,S08000030,Melanoma,"",12,"",12,""
4388,2014Q4,S92000003,d,S08000030,Upper GI,"",22,"",22,""
4389,2014Q4,S92000003,d,S08000030,Urological,"",35,"",34,""
4390,2014Q4,S92000003,d,S08000031,All Cancer Types,d,803,"",744,""
4391,2014Q4,S92000003,d,S08000031,Breast,"",235,"",229,""
4392,2014Q4,S92000003,d,S08000031,Cervical,"",14,"",14,""
4393,2014Q4,S92000003,d,S08000031,Colorectal,"",90,"",82,""
4394,2014Q4,S92000003,d,S08000031,Head & Neck,"",48,"",44,""
4395,2014Q4,S92000003,d,S08000031,Lung,"",138,"",129,""
4396,2014Q4,S92000003,d,S08000031,Lymphoma,"",22,"",22,""
4397,2014Q4,S92000003,d,S08000031,Melanoma,"",32,"",31,""
4398,2014Q4,S92000003,d,S08000031,Ovarian,"",19,"",18,""
4399,2014Q4,S92000003,d,S08000031,Upper GI,"",82,"",69,""
4400,2014Q4,S92000003,d,S08000031,Urological,"",123,"",106,""
4401,2014Q4,S92000003,d,S08000032,All Cancer Types,d,247,"",239,""
4402,2014Q4,S92000003,d,S08000032,Breast,"",77,"",74,""
4403,2014Q4,S92000003,d,S08000032,Cervical,"",5,"",5,""
4404,2014Q4,S92000003,d,S08000032,Colorectal,"",39,"",38,""
4405,2014Q4,S92000003,d,S08000032,Head & Neck,"",3,"",3,""
4406,2014Q4,S92000003,d,S08000032,Lung,"",38,"",38,""
4407,2014Q4,S92000003,d,S08000032,Lymphoma,"",5,"",5,""
4408,2014Q4,S92000003,d,S08000032,Melanoma,"",19,"",19,""
4409,2014Q4,S92000003,d,S08000032,Ovarian,"",3,"",3,""
4410,2014Q4,S92000003,d,S08000032,Upper GI,"",20,"",19,""
4411,2014Q4,S92000003,d,S08000032,Urological,"",38,"",35,""
4412,2014Q4,S92000003,d,SB0801,All Cancer Types,d,28,"",25,""
4413,2014Q4,S92000003,d,SB0801,Lung,"",28,"",25,""
4414,2015Q1,S08000015,"",S08000015,All Cancer Types,d,239,"",226,""
4415,2015Q1,S08000015,"",S08000015,Breast,"",87,"",85,""
4416,2015Q1,S08000015,"",S08000015,Cervical,"",1,"",1,""
4417,2015Q1,S08000015,"",S08000015,Colorectal,"",29,"",29,""
4418,2015Q1,S08000015,"",S08000015,Head & Neck,"",4,"",3,""
4419,2015Q1,S08000015,"",S08000015,Lung,"",41,"",41,""
4420,2015Q1,S08000015,"",S08000015,Lymphoma,"",8,"",5,""
4421,2015Q1,S08000015,"",S08000015,Melanoma,"",6,"",6,""
4422,2015Q1,S08000015,"",S08000015,Ovarian,"",3,"",3,""
4423,2015Q1,S08000015,"",S08000015,Upper GI,"",26,"",25,""
4424,2015Q1,S08000015,"",S08000015,Urological,"",34,"",28,""
4425,2015Q1,S08000015,"",S08000017,All Cancer Types,d,2,"",2,""
4426,2015Q1,S08000015,"",S08000017,Breast,"",2,"",2,""
4427,2015Q1,S08000015,"",S08000031,All Cancer Types,d,39,"",36,""
4428,2015Q1,S08000015,"",S08000031,Breast,"",2,"",2,""
4429,2015Q1,S08000015,"",S08000031,Cervical,"",6,"",5,""
4430,2015Q1,S08000015,"",S08000031,Colorectal,"",4,"",3,""
4431,2015Q1,S08000015,"",S08000031,Head & Neck,"",3,"",3,""
4432,2015Q1,S08000015,"",S08000031,Lung,"",12,"",12,""
4433,2015Q1,S08000015,"",S08000031,Melanoma,"",2,"",2,""
4434,2015Q1,S08000015,"",S08000031,Ovarian,"",5,"",5,""
4435,2015Q1,S08000015,"",S08000031,Upper GI,"",4,"",3,""
4436,2015Q1,S08000015,"",S08000031,Urological,"",1,"",1,""
4437,2015Q1,S08000015,"",SB0801,All Cancer Types,d,6,"",2,""
4438,2015Q1,S08000015,"",SB0801,Lung,"",6,"",2,""
4439,2015Q1,S08000016,"",S08000016,All Cancer Types,d,55,"",53,""
4440,2015Q1,S08000016,"",S08000016,Breast,"",9,"",9,""
4441,2015Q1,S08000016,"",S08000016,Colorectal,"",16,"",14,""
4442,2015Q1,S08000016,"",S08000016,Lung,"",4,"",4,""
4443,2015Q1,S08000016,"",S08000016,Lymphoma,"",3,"",3,""
4444,2015Q1,S08000016,"",S08000016,Melanoma,"",2,"",2,""
4445,2015Q1,S08000016,"",S08000016,Ovarian,"",2,"",2,""
4446,2015Q1,S08000016,"",S08000016,Upper GI,"",6,"",6,""
4447,2015Q1,S08000016,"",S08000016,Urological,"",13,"",13,""
4448,2015Q1,S08000016,"",S08000024,All Cancer Types,d,16,"",14,""
4449,2015Q1,S08000016,"",S08000024,Breast,"",1,"",1,""
4450,2015Q1,S08000016,"",S08000024,Colorectal,"",3,"",3,""
4451,2015Q1,S08000016,"",S08000024,Head & Neck,"",1,"",1,""
4452,2015Q1,S08000016,"",S08000024,Lung,"",4,"",4,""
4453,2015Q1,S08000016,"",S08000024,Upper GI,"",4,"",4,""
4454,2015Q1,S08000016,"",S08000024,Urological,"",3,"",1,""
4455,2015Q1,S08000017,"",S08000017,All Cancer Types,d,75,"",75,""
4456,2015Q1,S08000017,"",S08000017,Breast,"",12,"",12,""
4457,2015Q1,S08000017,"",S08000017,Colorectal,"",19,"",19,""
4458,2015Q1,S08000017,"",S08000017,Head & Neck,"",2,"",2,""
4459,2015Q1,S08000017,"",S08000017,Lung,"",20,"",20,""
4460,2015Q1,S08000017,"",S08000017,Lymphoma,"",4,"",4,""
4461,2015Q1,S08000017,"",S08000017,Melanoma,"",3,"",3,""
4462,2015Q1,S08000017,"",S08000017,Ovarian,"",1,"",1,""
4463,2015Q1,S08000017,"",S08000017,Upper GI,"",5,"",5,""
4464,2015Q1,S08000017,"",S08000017,Urological,"",9,"",9,""
4465,2015Q1,S08000017,"",S08000024,All Cancer Types,d,11,"",8,""
4466,2015Q1,S08000017,"",S08000024,Breast,"",1,"",1,""
4467,2015Q1,S08000017,"",S08000024,Head & Neck,"",2,"",2,""
4468,2015Q1,S08000017,"",S08000024,Lung,"",4,"",4,""
4469,2015Q1,S08000017,"",S08000024,Ovarian,"",1,"",1,""
4470,2015Q1,S08000017,"",S08000024,Urological,"",3,"",0,""
4471,2015Q1,S08000017,"",SB0801,All Cancer Types,d,1,"",1,""
4472,2015Q1,S08000017,"",SB0801,Lung,"",1,"",1,""
4473,2015Q1,S08000019,"",S08000019,All Cancer Types,d,152,"",142,""
4474,2015Q1,S08000019,"",S08000019,Breast,"",25,"",25,""
4475,2015Q1,S08000019,"",S08000019,Cervical,"",4,"",4,""
4476,2015Q1,S08000019,"",S08000019,Colorectal,"",22,"",19,""
4477,2015Q1,S08000019,"",S08000019,Lung,"",21,"",21,""
4478,2015Q1,S08000019,"",S08000019,Lymphoma,"",8,"",8,""
4479,2015Q1,S08000019,"",S08000019,Melanoma,"",12,"",9,""
4480,2015Q1,S08000019,"",S08000019,Upper GI,"",20,"",20,""
4481,2015Q1,S08000019,"",S08000019,Urological,"",40,"",36,""
4482,2015Q1,S08000019,"",S08000031,All Cancer Types,d,21,"",15,""
4483,2015Q1,S08000019,"",S08000031,Breast,"",1,"",1,""
4484,2015Q1,S08000019,"",S08000031,Cervical,"",1,"",0,""
4485,2015Q1,S08000019,"",S08000031,Colorectal,"",1,"",1,""
4486,2015Q1,S08000019,"",S08000031,Head & Neck,"",8,"",4,""
4487,2015Q1,S08000019,"",S08000031,Lung,"",3,"",3,""
4488,2015Q1,S08000019,"",S08000031,Ovarian,"",4,"",4,""
4489,2015Q1,S08000019,"",S08000031,Upper GI,"",3,"",2,""
4490,2015Q1,S08000019,"",S08000032,All Cancer Types,d,1,"",1,""
4491,2015Q1,S08000019,"",S08000032,Head & Neck,"",1,"",1,""
4492,2015Q1,S08000019,"",SB0801,All Cancer Types,d,8,"",8,""
4493,2015Q1,S08000019,"",SB0801,Lung,"",8,"",8,""
4494,2015Q1,S08000020,"",S08000020,All Cancer Types,d,314,"",268,""
4495,2015Q1,S08000020,"",S08000020,Breast,"",41,"",41,""
4496,2015Q1,S08000020,"",S08000020,Cervical,"",2,"",2,""
4497,2015Q1,S08000020,"",S08000020,Colorectal,"",52,"",38,""
4498,2015Q1,S08000020,"",S08000020,Head & Neck,"",11,"",9,""
4499,2015Q1,S08000020,"",S08000020,Lung,"",57,"",51,""
4500,2015Q1,S08000020,"",S08000020,Lymphoma,"",19,"",14,""
4501,2015Q1,S08000020,"",S08000020,Melanoma,"",10,"",9,""
4502,2015Q1,S08000020,"",S08000020,Ovarian,"",5,"",5,""
4503,2015Q1,S08000020,"",S08000020,Upper GI,"",49,"",46,""
4504,2015Q1,S08000020,"",S08000020,Urological,"",68,"",53,""
4505,2015Q1,S08000020,"",S08000022,All Cancer Types,d,2,"",0,""
4506,2015Q1,S08000020,"",S08000022,Colorectal,"",1,"",0,""
4507,2015Q1,S08000020,"",S08000022,Lymphoma,"",1,"",0,""
4508,2015Q1,S08000020,"",S08000025,All Cancer Types,d,2,"",2,""
4509,2015Q1,S08000020,"",S08000025,Lung,"",1,"",1,""
4510,2015Q1,S08000020,"",S08000025,Melanoma,"",1,"",1,""
4511,2015Q1,S08000022,"",S08000022,All Cancer Types,d,170,"",163,""
4512,2015Q1,S08000022,"",S08000022,Breast,"",55,"",55,""
4513,2015Q1,S08000022,"",S08000022,Cervical,"",1,"",1,""
4514,2015Q1,S08000022,"",S08000022,Colorectal,"",25,"",22,""
4515,2015Q1,S08000022,"",S08000022,Head & Neck,"",6,"",6,""
4516,2015Q1,S08000022,"",S08000022,Lung,"",22,"",22,""
4517,2015Q1,S08000022,"",S08000022,Lymphoma,"",2,"",2,""
4518,2015Q1,S08000022,"",S08000022,Melanoma,"",8,"",8,""
4519,2015Q1,S08000022,"",S08000022,Ovarian,"",7,"",7,""
4520,2015Q1,S08000022,"",S08000022,Upper GI,"",16,"",16,""
4521,2015Q1,S08000022,"",S08000022,Urological,"",28,"",24,""
4522,2015Q1,S08000022,"",S08000028,All Cancer Types,d,1,"",1,""
4523,2015Q1,S08000022,"",S08000028,Breast,"",1,"",1,""
4524,2015Q1,S08000022,"",S08000031,All Cancer Types,d,1,"",1,""
4525,2015Q1,S08000022,"",S08000031,Upper GI,"",1,"",1,""
4526,2015Q1,S08000022,"",SB0801,All Cancer Types,d,2,"",2,""
4527,2015Q1,S08000022,"",SB0801,Lung,"",2,"",2,""
4528,2015Q1,S08000024,"",S08000016,All Cancer Types,d,4,"",4,""
4529,2015Q1,S08000024,"",S08000016,Breast,"",4,"",4,""
4530,2015Q1,S08000024,"",S08000019,All Cancer Types,d,3,"",3,""
4531,2015Q1,S08000024,"",S08000019,Breast,"",3,"",3,""
4532,2015Q1,S08000024,"",S08000024,All Cancer Types,d,449,"",425,""
4533,2015Q1,S08000024,"",S08000024,Breast,"",180,"",180,""
4534,2015Q1,S08000024,"",S08000024,Cervical,"",16,"",15,""
4535,2015Q1,S08000024,"",S08000024,Colorectal,"",59,"",50,""
4536,2015Q1,S08000024,"",S08000024,Head & Neck,"",15,"",15,""
4537,2015Q1,S08000024,"",S08000024,Lung,"",50,"",48,""
4538,2015Q1,S08000024,"",S08000024,Lymphoma,"",14,"",13,""
4539,2015Q1,S08000024,"",S08000024,Melanoma,"",13,"",13,""
4540,2015Q1,S08000024,"",S08000024,Ovarian,"",5,"",5,""
4541,2015Q1,S08000024,"",S08000024,Upper GI,"",31,"",30,""
4542,2015Q1,S08000024,"",S08000024,Urological,"",66,"",56,""
4543,2015Q1,S08000024,"",S08000029,All Cancer Types,d,1,"",1,""
4544,2015Q1,S08000024,"",S08000029,Breast,"",1,"",1,""
4545,2015Q1,S08000025,"",S08000020,All Cancer Types,d,1,"",1,""
4546,2015Q1,S08000025,"",S08000020,Colorectal,"",1,"",1,""
4547,2015Q1,S08000025,"",S08000025,All Cancer Types,d,2,"",2,""
4548,2015Q1,S08000025,"",S08000025,Breast,"",1,"",1,""
4549,2015Q1,S08000025,"",S08000025,Colorectal,"",1,"",1,""
4550,2015Q1,S08000026,"",S08000020,All Cancer Types,d,3,"",3,""
4551,2015Q1,S08000026,"",S08000020,Upper GI,"",2,"",2,""
4552,2015Q1,S08000026,"",S08000020,Urological,"",1,"",1,""
4553,2015Q1,S08000026,"",S08000026,All Cancer Types,d,9,"",8,""
4554,2015Q1,S08000026,"",S08000026,Breast,"",3,"",3,""
4555,2015Q1,S08000026,"",S08000026,Colorectal,"",1,"",1,""
4556,2015Q1,S08000026,"",S08000026,Head & Neck,"",1,"",1,""
4557,2015Q1,S08000026,"",S08000026,Upper GI,"",1,"",1,""
4558,2015Q1,S08000026,"",S08000026,Urological,"",3,"",2,""
4559,2015Q1,S08000028,"",S08000022,All Cancer Types,d,6,"",5,""
4560,2015Q1,S08000028,"",S08000022,Colorectal,"",2,"",2,""
4561,2015Q1,S08000028,"",S08000022,Head & Neck,"",1,"",1,""
4562,2015Q1,S08000028,"",S08000022,Lung,"",1,"",1,""
4563,2015Q1,S08000028,"",S08000022,Upper GI,"",2,"",1,""
4564,2015Q1,S08000028,"",S08000028,All Cancer Types,d,3,"",3,""
4565,2015Q1,S08000028,"",S08000028,Breast,"",1,"",1,""
4566,2015Q1,S08000028,"",S08000028,Colorectal,"",1,"",1,""
4567,2015Q1,S08000028,"",S08000028,Lung,"",1,"",1,""
4568,2015Q1,S08000028,"",S08000031,All Cancer Types,d,1,"",0,""
4569,2015Q1,S08000028,"",S08000031,Upper GI,"",1,"",0,""
4570,2015Q1,S08000029,"",S08000024,All Cancer Types,d,33,"",24,""
4571,2015Q1,S08000029,"",S08000024,Cervical,"",2,"",2,""
4572,2015Q1,S08000029,"",S08000024,Colorectal,"",1,"",1,""
4573,2015Q1,S08000029,"",S08000024,Head & Neck,"",1,"",1,""
4574,2015Q1,S08000029,"",S08000024,Lung,"",23,"",16,""
4575,2015Q1,S08000029,"",S08000024,Upper GI,"",5,"",3,""
4576,2015Q1,S08000029,"",S08000024,Urological,"",1,"",1,""
4577,2015Q1,S08000029,"",S08000029,All Cancer Types,d,156,"",144,""
4578,2015Q1,S08000029,"",S08000029,Breast,"",23,"",22,""
4579,2015Q1,S08000029,"",S08000029,Colorectal,"",29,"",29,""
4580,2015Q1,S08000029,"",S08000029,Head & Neck,"",2,"",2,""
4581,2015Q1,S08000029,"",S08000029,Lung,"",34,"",31,""
4582,2015Q1,S08000029,"",S08000029,Lymphoma,"",6,"",6,""
4583,2015Q1,S08000029,"",S08000029,Melanoma,"",6,"",6,""
